description,qtd_gram,kcal,protein,lipids,saturated,monoinsat,polinsat,omega_6,omega_3,colesterol,cho,fiber,calcium,mg,mn,p,iron,sodium,potassium,copper,zinco,retinol,tiamina,riboflavina,piridoxina,niacina,vitamin_c,eq_niacina,cobalamina,folato,vitamin_d,vitamin_e,trans,sodium_add,selenio,vitamin_a,sugar_total,sugar_add
GELATINA DE QUALQUER SABOR,100,"278,00","0,37","0,07","0,01","0,04",.,.,.,.,"68,86","1,10","20,00","4,00","0,04","19,00","0,49","32,00","77,00","0,10","0,06",.,"0,02","0,08","0,02","0,04","8,80","0,12",.,"11,00",.,"0,12",.,.,"2,00",.,"48,90","65,51"
ADOCANTE ARTIFICIAL,100,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"240,00",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
MERENGUE,100,"358,26","6,21","0,10",.,.,.,.,.,.,"85,89","0,00","4,87","6,27","0,01","8,56","0,07","94,73","164,82","0,01","0,02",.,"0,00","0,27","0,00","0,06",.,"1,25","0,05","2,28",.,.,.,.,"11,90",.,"85,54","85,21"
SCHIMIER DE CANA,100,"296,00",.,.,.,.,.,.,.,.,"76,60",.,"102,00","115,00","2,62","74,00","5,40","4,00","395,00","0,84","0,30",.,.,"0,05","0,20",.,.,.,.,.,.,.,.,.,.,.,"42,20","60,80"
FRUTA SECA OU DESIDRATADA,100,"240,00","2,18","0,38","0,09","0,05","0,06","0,04","0,02",.,"63,88","7,10","43,00","41,00","0,30","69,00","0,93","2,00","732,00","0,28","0,44",.,"0,05","0,19","0,21","1,88","0,60","2,30",.,"4,00",.,"0,37",.,.,"0,30","39,08","38,12",.
PASSA,100,"299,00","3,07","0,46","0,06","0,05","0,04","0,03","0,01",.,"79,18","3,70","50,00","32,00","0,30","101,00","1,88","11,00","749,00","0,32","0,22",.,"0,11","0,13","0,17","0,77","2,30","1,60",.,"5,00",.,"0,11",.,.,"0,60",.,"57,88",.
PUDIM DE QUALQUER SABOR,100,"131,15","5,58","5,07","2,14","1,66","0,52","0,41","0,06","122,51","15,44",.,"89,20","9,49","0,01","107,71","0,35","60,62","131,17","0,01","0,55","64,57","0,05","0,27","0,06","0,09",.,"1,62","0,60","15,36","1,02","0,32","0,08",.,"10,95","65,21","15,90","12,02"
DANETTE PUDIM,100,"131,15","5,58","5,07","2,14","1,66","0,52","0,41","0,06","122,51","15,44",.,"89,20","9,49","0,01","107,71","0,35","60,62","131,17","0,01","0,55","64,57","0,05","0,27","0,06","0,09",.,"1,62","0,60","15,36","1,02","0,32","0,08",.,"10,95","65,21","15,90","12,02"
MANJAR,100,"284,98","8,20","10,74","6,63","2,68","0,56","0,43","0,08","118,44","40,14","0,34","201,26","23,38","0,20","206,83","0,55","129,47","289,85","0,04","0,97","85,82","0,07","0,38","0,08","0,19","1,64","2,02","0,48","17,33","0,90","0,37","0,20",.,"14,99","86,88","38,63","31,61"
CUSCUZ,100,"128,30","4,35","0,22","0,04","0,03","0,09","0,08",.,.,"26,42","1,71","10,74","15,82","0,27","58,01","0,37","261,48","57,49","0,09","0,28",.,"0,06","0,03","0,04","1,19",.,"2,12",.,"6,82",.,"0,05",.,.,"3,75","0,06","0,72",.
CUSCUZ DE TAPIOCA,100,"116,99","4,33","4,10","1,99","1,21","0,35","0,25","0,07","63,11","15,51","0,03","102,17","9,79","0,01","98,87","0,23","100,38","137,70","0,01","0,48","45,19","0,05","0,22","0,05","0,10",.,"1,48","0,51","10,01","1,01","0,18","0,10",.,"7,16","45,71","13,20","8,60"
MARIA MOLE,100,"444,92","1,64","19,94","17,68","0,85","0,22","0,22",.,.,"68,84","2,59","9,93","28,32","1,39","61,18","1,11","148,99","194,42","0,18","1,03",.,"0,02","0,02","0,15","0,27","0,89","0,59",.,"5,11",.,"0,23",.,.,"9,72",.,"61,43","61,91"
COCADA,100,"404,80","1,01","12,46","11,01","0,53","0,14","0,14",.,.,"75,65","1,58","8,30","17,68","0,87","37,45","0,68","107,35","119,68","0,11","0,71",.,"0,02","0,02","0,10","0,17","0,25","0,36",.,"2,80",.,"0,14",.,.,"6,25",.,"62,21","71,44"
QUEBRA QUEIXO,100,"404,80","1,01","12,46","11,01","0,53","0,14","0,14",.,.,"75,65","1,58","8,30","17,68","0,87","37,45","0,68","107,35","119,68","0,11","0,71",.,"0,02","0,02","0,10","0,17","0,25","0,36",.,"2,80",.,"0,14",.,.,"6,25",.,"62,21","71,44"
DOCE DE AMENDOIM,100,"451,58","11,16","23,89","4,06","11,76","6,84","6,71","0,07",.,"55,29","3,73","30,14","70,51","0,73","158,43","0,61","221,83","291,27","0,22","1,44","30,53","0,05","0,04","0,18","5,49","0,32","7,02",.,"47,66",.,"2,87","0,96",.,"1,68","32,04","39,22","49,15"
PE DE MOLEQUE,100,"474,00","9,10","17,91","2,36","8,44","5,38","5,38",.,.,"69,20","2,42","50,00","64,17","0,73","141,00","4,50","21,00","236,85","0,47","2,31",.,"0,22","0,10","0,09","5,71","5,90","7,21",.,"43,37",.,"2,39",.,.,"3,10",.,"55,51","58,45"
PACOCA,100,"472,17","10,35","21,53","2,99","10,68","6,80","6,80",.,.,"64,04","3,89","32,87","76,73","0,95","158,40","1,72","3,07","290,53","0,30","1,49",.,"0,19","0,04","0,11","5,86",.,"7,55",.,"64,70",.,"3,00",.,.,"3,70",.,"15,14","13,33"
TORRAO DE AMENDOIM,100,"460,34","11,01","24,64","1,86","15,39","6,02","6,01","0,00",.,"56,27","6,13","133,59","134,44","1,16","242,70","1,96","7,08","370,23","0,51","1,59",.,"0,11","0,53","0,08","1,72","0,13","3,58","0,00","25,55",.,"13,07","0,01",.,"2,26","0,04","47,33","45,45"
PACOQUINHA DE AMENDOIM,100,"472,17","10,35","21,53","2,99","10,68","6,80","6,80",.,.,"64,04","3,89","32,87","76,73","0,95","158,40","1,72","3,07","290,53","0,30","1,49",.,"0,19","0,04","0,11","5,86",.,"7,55",.,"64,70",.,"3,00",.,.,"3,70",.,"15,14","13,33"
AMENDOIM CARAMELIZADO,100,"474,00","9,10","17,91","2,36","8,44","5,38","5,38",.,.,"69,20","2,42","50,00","64,17","0,73","141,00","4,50","21,00","236,85","0,47","2,31",.,"0,22","0,10","0,09","5,71","5,90","7,21",.,"43,37",.,"2,39",.,.,"3,10",.,"55,51","58,45"
AMENDOIM AMANTEIGADO,100,"567,00","25,80","49,24","6,83","24,43","15,56","15,56","0,00",.,"16,13","8,50","92,00","168,00","1,93","376,00","4,58","18,00","705,00","1,14","3,27",.,"0,64","0,14","0,35","12,07",.,"16,23",.,"240,00",.,"8,33",.,.,"7,20",.,"4,00",.
AMENDOIM ACHOCOLATADO,100,"519,00","13,10","33,50","14,60","12,92","4,33","4,22","0,04","9,00","49,70","4,70","104,00","96,00","0,95","212,00","1,31","41,00","502,00","0,54","2,60","41,00","0,12","0,17","0,10","4,25",.,"6,58","0,53","51,00",.,"2,40","0,04",.,"5,40","41,50","40,90","37,88"
AMENDOIM APIMENTADO,100,"567,00","25,80","49,24","6,83","24,43","15,56","15,56","0,00",.,"16,13","8,50","92,00","168,00","1,93","376,00","4,58","18,00","705,00","1,14","3,27",.,"0,64","0,14","0,35","12,07",.,"16,23",.,"240,00",.,"8,33",.,.,"7,20",.,"4,00",.
AMENDOIM COZIDO,100,"318,00","13,50","22,01","3,06","10,92","6,96","6,95","0,00",.,"21,26","8,80","55,00","102,00","1,02","198,00","1,01","751,00","180,00","0,50","1,83",.,"0,26","0,06","0,15","5,26",.,"7,44",.,"75,00",.,"4,10",.,.,"4,40",.,"2,02",.
BRIGADEIRO,100,"334,48","7,52","10,14","5,49","3,20","0,94","0,78","0,16","31,69","54,86","0,23","266,19","28,88","0,04","241,57","0,33","128,60","373,64","0,05","0,95","87,31","0,09","0,39","0,05","0,22","2,45","1,99","0,41","10,48","0,12","0,24","0,59",.,"13,87","89,36","52,59","43,90"
BOMBA DE QUALQUER TIPO,100,"339,26","6,32","26,93","15,90","7,70","1,27","1,06","0,16","194,01","18,55","0,54","45,49","9,84","0,13","93,20","1,18","50,56","92,24","0,04","0,53","250,49","0,17","0,28","0,05","1,09","0,21","2,41","0,41","50,88","0,97","0,98","0,91",.,"15,22","254,72","4,95","3,57"
MIL FOLHAS,100,"440,33","2,36","29,03","14,38","9,89","3,23","2,98","0,24","56,04","43,22","0,43","32,51","6,18","0,10","40,94","0,67","199,14","56,87","0,03","0,21","131,16","0,12","0,13","0,02","0,85","0,19","1,36","0,10","30,21","0,49","0,57","2,05",.,"5,30","133,57","31,50","31,28"
QUEIJADINHA,100,"404,80","1,01","12,46","11,01","0,53","0,14","0,14",.,.,"75,65","1,58","8,30","17,68","0,87","37,45","0,68","107,35","119,68","0,11","0,71",.,"0,02","0,02","0,10","0,17","0,25","0,36",.,"2,80",.,"0,14",.,.,"6,25",.,"62,21","71,44"
DOCE A BASE DE OVOS,100,"131,15","5,58","5,07","2,14","1,66","0,52","0,41","0,06","122,51","15,44",.,"89,20","9,49","0,01","107,71","0,35","60,62","131,17","0,01","0,55","64,57","0,05","0,27","0,06","0,09",.,"1,62","0,60","15,36","1,02","0,32","0,08",.,"10,95","65,21","15,90","12,02"
CACAROLA ITALIANA,100,"284,98","8,20","10,74","6,63","2,68","0,56","0,43","0,08","118,44","40,14","0,34","201,26","23,38","0,20","206,83","0,55","129,47","289,85","0,04","0,97","85,82","0,07","0,38","0,08","0,19","1,64","2,02","0,48","17,33","0,90","0,37","0,20",.,"14,99","86,88","38,63","31,61"
QUINDIM,100,"131,15","5,58","5,07","2,14","1,66","0,52","0,41","0,06","122,51","15,44",.,"89,20","9,49","0,01","107,71","0,35","60,62","131,17","0,01","0,55","64,57","0,05","0,27","0,06","0,09",.,"1,62","0,60","15,36","1,02","0,32","0,08",.,"10,95","65,21","15,90","12,02"
FIOS DE OVOS,100,"131,15","5,58","5,07","2,14","1,66","0,52","0,41","0,06","122,51","15,44",.,"89,20","9,49","0,01","107,71","0,35","60,62","131,17","0,01","0,55","64,57","0,05","0,27","0,06","0,09",.,"1,62","0,60","15,36","1,02","0,32","0,08",.,"10,95","65,21","15,90","12,02"
DOCE A BASE DE LEITE,100,"319,70","7,88","8,67","5,46","2,42","0,34","0,22","0,12","33,86","54,18",.,"282,85","25,89","0,01","251,97","0,19","126,48","369,49","0,02","0,94","72,70","0,09","0,41","0,05","0,21","2,59","2,07","0,44","10,96","0,13","0,16","0,31",.,"14,74","73,87","52,51","43,02"
PAVE DE QUALQUER SABOR,100,"306,43","4,94","22,24","12,88","7,03","1,25","0,92","0,28","151,85","21,59","0,36","66,08","11,99","0,08","96,19","0,90","151,95","121,43","0,03","0,51","230,15","0,06","0,17","0,06","0,47","0,16","1,35","0,36","24,27","0,67","0,53","0,94",.,"6,74","234,49","17,10","14,67"
AMBROSIA,100,"144,23","4,09","3,84","1,72","1,18","0,38","0,29","0,07","75,36","23,88","0,26","83,71","8,84","0,15","85,23","0,27","46,10","114,64","0,01","0,43","44,83","0,04","0,20","0,04","0,09","0,26","1,28","0,46","10,59","0,83","0,24","0,07",.,"7,48","45,43","23,26","20,45"
LEITE GELEIFICADO,100,"131,15","5,58","5,07","2,14","1,66","0,52","0,41","0,06","122,51","15,44",.,"89,20","9,49","0,01","107,71","0,35","60,62","131,17","0,01","0,55","64,57","0,05","0,27","0,06","0,09",.,"1,62","0,60","15,36","1,02","0,32","0,08",.,"10,95","65,21","15,90","12,02"
CHANDELE DE QUALQUER SABOR,100,"131,15","5,58","5,07","2,14","1,66","0,52","0,41","0,06","122,51","15,44",.,"89,20","9,49","0,01","107,71","0,35","60,62","131,17","0,01","0,55","64,57","0,05","0,27","0,06","0,09",.,"1,62","0,60","15,36","1,02","0,32","0,08",.,"10,95","65,21","15,90","12,02"
MUMU ,100,"319,70","7,88","8,67","5,46","2,42","0,34","0,22","0,12","33,86","54,18",.,"282,85","25,89","0,01","251,97","0,19","126,48","369,49","0,02","0,94","72,70","0,09","0,41","0,05","0,21","2,59","2,07","0,44","10,96","0,13","0,16","0,31",.,"14,74","73,87","52,51","43,02"
CANUDINHO RECHEADO,100,"123,26","2,43","4,50","3,61","0,34","0,28","0,27","0,01","0,28","21,33","2,22","2,50","23,94","0,29","61,85","0,45","62,16","190,44","0,09","0,59","0,87","0,03","0,05","0,08","0,95","2,92","1,44",.,"28,33",.,"0,08",.,.,"1,75","8,07","8,86","5,57"
SAROLHO,100,"336,00","2,00",.,.,.,.,.,.,.,"82,00",.,"4,00",.,.,.,"0,16","1,50",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
BEIJU,100,"336,00","2,00",.,.,.,.,.,.,.,"82,00",.,"4,00",.,.,.,"0,16","1,50",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
SCHIMIER DE FRUTA (EXCETO DE CANA),100,"278,00","0,37","0,07","0,01","0,04",.,.,.,.,"68,86","1,10","20,00","4,00","0,04","19,00","0,49","32,00","77,00","0,10","0,06",.,"0,02","0,08","0,02","0,04","8,80","0,12",.,"11,00",.,"0,12",.,.,"2,00",.,"48,90","65,51"
BEIJO DE MOCA,100,"387,00",.,.,.,.,.,.,.,.,"99,98",.,"1,00",.,.,.,"0,01",.,"2,00",.,.,.,.,"0,02",.,.,.,.,.,.,.,.,.,.,"0,60",.,"99,91","99,98"
PICOLE ENSACADO,100,"79,00",.,"0,24","0,01","0,05","0,02","0,02",.,.,"19,23",.,.,"1,00",.,.,"0,54","7,00","15,00",.,"0,15",.,.,.,.,.,"0,70",.,.,.,.,.,.,.,"0,20",.,"13,67","19,23"
GELADINHO,100,"122,69","0,14","0,09","0,01","0,01","0,03","0,02","0,01",.,"32,51","0,45","3,81","1,47","0,07","2,26","0,06","8,64","14,88","0,01","0,09",.,"0,02","0,01","0,01","0,08","1,83","0,09",.,"1,13",.,"0,11",.,.,"0,26","0,50","26,13","29,78"
CHURRO,100,"401,66","3,00","23,44","14,71","6,03","0,99","0,90","0,10","61,38","45,94","0,81","12,71","6,96","0,18","35,70","1,25","149,03","35,97","0,05","0,22","191,56","0,21","0,15","0,01","1,59",.,"2,21","0,05","55,34","0,40","0,68","0,94",.,"9,49","195,32","24,81","25,54"
PAMONHA,100,"171,00","2,60","4,80","0,50","0,70","1,40","1,32","0,09",.,"30,70","2,40","4,00","15,00","0,12","55,00","0,40","132,00","125,00","0,03","0,40",.,.,.,.,.,.,.,.,.,.,.,"0,11",.,.,.,.,.
ALGODAO-DOCE,100,"387,00",.,.,.,.,.,.,.,.,"99,98",.,"1,00",.,.,.,"0,01",.,"2,00",.,.,.,.,"0,02",.,.,.,.,.,.,.,.,.,.,"0,60",.,"99,91","99,98"
IOIO CREME (CHOCOLATE EM CREME),100,"350,00","4,60","8,90","3,98","3,86","0,28","0,25","0,02","1,00","62,90","2,80","49,00","48,00","0,37","97,00","1,30","346,00","284,00","0,35","0,83","1,00","0,03","0,09","0,02","0,25","0,20","1,42","0,06","4,00",.,"2,63",.,.,"2,30","1,00","48,37","38,30"
OVO DE PASCOA,100,"535,00","7,65","29,66","20,78","15,87","1,26","1,06","0,12","23,00","59,40","3,40","189,00","63,00","0,47","208,00","2,35","79,00","372,00","0,49","2,30","56,00","0,11","0,30","0,04","0,39",.,"1,87","0,75","11,00",.,"0,51","0,09",.,"4,50","56,67","54,80","46,99"
KINDER OVO,100,"535,00","7,65","29,66","20,78","15,87","1,26","1,06","0,12","23,00","59,40","3,40","189,00","63,00","0,47","208,00","2,35","79,00","372,00","0,49","2,30","56,00","0,11","0,30","0,04","0,39",.,"1,87","0,75","11,00",.,"0,51","0,09",.,"4,50","56,67","54,80","46,99"
TORRONE,100,"460,34","11,01","24,64","1,86","15,39","6,02","6,01","0,00",.,"56,27","6,13","133,59","134,44","1,16","242,70","1,96","7,08","370,23","0,51","1,59",.,"0,11","0,53","0,08","1,72","0,13","3,58","0,00","25,55",.,"13,07","0,01",.,"2,26","0,04","47,33","45,45"
ARROZ-DOCE,100,"108,49","3,05","2,34","1,32","0,59","0,16","0,10","0,06","6,94","18,77","0,10","82,04","10,74","0,15","76,17","0,39","50,79","109,98","0,03","0,43","19,43","0,08","0,13","0,05","0,52",.,"1,55","0,31","16,42","0,69","0,05","0,08",.,"4,88","19,72","10,76","7,11"
POLPA DE COCO,100,"402,00","3,80","41,70",.,.,.,.,.,.,"9,80","5,00","7,00","41,00","0,77","107,00","1,70","11,00","370,00","0,42","0,90",.,.,.,.,.,"1,60",.,.,.,.,.,.,.,.,.,.,.
DIET SHAKE,100,"335,52","19,19","1,87","0,76","0,42","0,41","0,37","0,05","5,27","69,94","7,39","536,58","357,14","0,27","366,60","22,86","395,27","928,75","0,71","16,07","803,11","1,61","0,70","2,14","25,00","64,29","29,62","4,29","588,80","3,57","24,12","0,01",.,"11,73","803,22","59,33","39,64"
CONCENTRADO ALIMENTAR DIET SHAKE,100,"335,52","19,19","1,87","0,76","0,42","0,41","0,37","0,05","5,27","69,94","7,39","536,58","357,14","0,27","366,60","22,86","395,27","928,75","0,71","16,07","803,11","1,61","0,70","2,14","25,00","64,29","29,62","4,29","588,80","3,57","24,12","0,01",.,"11,73","803,22","59,33","39,64"
ACUCAR ,100,"387,00",.,.,.,.,.,.,.,.,"99,98",.,"1,00",.,.,.,"0,01",.,"2,00",.,.,.,.,"0,02",.,.,.,.,.,.,.,.,.,.,"0,60",.,"99,91","99,98"
ACUCAR LIGHT,100,"400,00",.,.,.,.,.,.,.,.,"100,00",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
BARRA DE CEREAIS,100,"352,92","3,17","8,55","0,93","1,71","5,32","5,30","0,02",.,"69,44","2,32","540,54","28,55","0,68","76,79","4,86","284,16","80,58","0,08","4,05","607,36","1,02","1,15","1,35","13,51","0,10","14,22",.,"178,46",.,"3,20","0,04",.,"11,34","607,49","37,40","49,22"
BARRA DE CEREAIS SALGADA,100,"352,92","3,17","8,55","0,93","1,71","5,32","5,30","0,02",.,"69,44","2,32","540,54","28,55","0,68","76,79","4,86","284,16","80,58","0,08","4,05","607,36","1,02","1,15","1,35","13,51","0,10","14,22",.,"178,46",.,"3,20","0,04",.,"11,34","607,49","37,40","49,22"
BARRA DE CEREAIS DOCE,100,"352,92","3,17","8,55","0,93","1,71","5,32","5,30","0,02",.,"69,44","2,32","540,54","28,55","0,68","76,79","4,86","284,16","80,58","0,08","4,05","607,36","1,02","1,15","1,35","13,51","0,10","14,22",.,"178,46",.,"3,20","0,04",.,"11,34","607,49","37,40","49,22"
SOBREMESA DE QUALQUER TIPO (EXCETO INFANTIL),100,"131,15","5,58","5,07","2,14","1,66","0,52","0,41","0,06","122,51","15,44",.,"89,20","9,49","0,01","107,71","0,35","60,62","131,17","0,01","0,55","64,57","0,05","0,27","0,06","0,09",.,"1,62","0,60","15,36","1,02","0,32","0,08",.,"10,95","65,21","15,90","12,02"
RABANADA,100,"293,00","4,70","16,60","3,40","9,00","2,90","2,80",.,"38,00","31,30","0,50","101,00","13,00",.,"102,00","0,50","85,00","159,00",.,"0,60","40,00","0,02","0,19","0,05","0,60",.,.,.,.,.,.,"0,10",.,.,.,.,.
MILK SHAKE ,100,"161,09","3,11","6,43","3,96","1,74","0,26","0,16","0,09","25,08","23,49","0,76","103,02","20,40","0,06","101,82","0,38","64,45","181,47","0,09","0,60","76,22","0,03","0,19","0,04","0,14","0,40","0,79","0,34","4,37","0,77","0,17","0,24",.,"1,89","77,11","17,79","19,07"
GELEIA DIET,100,"52,64","0,47","0,17","0,01","0,02","0,09","0,05","0,04",.,"12,72","1,40","11,05","7,52","0,21","13,20","0,23","1,20","85,44","0,03","0,08",.,"0,01","0,01","0,03","0,21","32,34","0,29",.,"13,20",.,"0,15",.,.,"0,22","0,32","3,02",.
DOCE DE FRUTAS DIET,100,"52,64","0,47","0,17","0,01","0,02","0,09","0,05","0,04",.,"12,72","1,40","11,05","7,52","0,21","13,20","0,23","1,20","85,44","0,03","0,08",.,"0,01","0,01","0,03","0,21","32,34","0,29",.,"13,20",.,"0,15",.,.,"0,22","0,32","3,02",.
PASTEIS DE SANTA CLARA,100,"131,15","5,58","5,07","2,14","1,66","0,52","0,41","0,06","122,51","15,44",.,"89,20","9,49","0,01","107,71","0,35","60,62","131,17","0,01","0,55","64,57","0,05","0,27","0,06","0,09",.,"1,62","0,60","15,36","1,02","0,32","0,08",.,"10,95","65,21","15,90","12,02"
SUSPIRO,100,"358,26","6,21","0,10",.,.,.,.,.,.,"85,89","0,00","4,87","6,27","0,01","8,56","0,07","94,73","164,82","0,01","0,02",.,"0,00","0,27","0,00","0,06",.,"1,25","0,05","2,28",.,.,.,.,"11,90",.,"85,54","85,21"
DOCE DE FRUTAS CRISTALIZADO DE QUALQUER SABOR DIET,100,"52,64","0,47","0,17","0,01","0,02","0,09","0,05","0,04",.,"12,72","1,40","11,05","7,52","0,21","13,20","0,23","1,20","85,44","0,03","0,08",.,"0,01","0,01","0,03","0,21","32,34","0,29",.,"13,20",.,"0,15",.,.,"0,22","0,32","3,02",.
SORVETE DE QUALQUER SABOR INDUSTRIALIZADO LIGHT,100,"188,99","4,43","7,67","4,70","2,10","0,30","0,19","0,11","33,00","26,15","0,60","149,33","16,00","0,04","97,01","0,32","75,00","192,35","0,05","0,62","101,02","0,04","0,21","0,04","0,13","1,00","1,39","0,33","5,00","0,60","0,21","0,25",.,"2,00","105,68","22,11","17,46"
SORVETE DE QUALQUER SABOR INDUSTRIALIZADO DIET,100,"190,00","3,17","12,70","6,79","3,17","0,41","0,25","0,16","32,00","15,87","4,80","128,00","14,00","0,01","105,00","0,09","48,00","199,00","0,02","0,69","116,00","0,04","0,24","0,05","0,12","0,60","0,87","0,39","5,00","0,44","0,30","0,45",.,"2,60","117,58","5,93",.
BALA LIGHT,100,"235,00",.,.,.,.,.,.,.,.,"95,00",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
CHICLETE DIET,100,"240,00",.,.,.,.,.,.,.,.,"100,00",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
BALA DIET,100,"235,00",.,.,.,.,.,.,.,.,"95,00",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
BARRA DE CHOCOLATE LIGHT,100,"539,79","10,58","41,64","21,17","15,73","2,84","2,76","0,05","2,80","40,42","4,32","246,46","107,47","0,97","285,97","3,24","165,82","495,73","0,70","2,59","0,62","0,12","0,44","0,08","0,85","0,87","2,99","0,62","19,49",.,"4,47","0,01",.,"5,99","0,65","31,32","24,57"
BARRA DE CHOCOLATE DIET,100,"539,79","10,58","41,64","21,17","15,73","2,84","2,76","0,05","2,80","40,42","4,32","246,46","107,47","0,97","285,97","3,24","165,82","495,73","0,70","2,59","0,62","0,12","0,44","0,08","0,85","0,87","2,99","0,62","19,49",.,"4,47","0,01",.,"5,99","0,65","31,32","24,57"
ACHOCOLATADO EM PO LIGHT,100,"337,70","29,42","2,39","1,44","0,76","0,08","0,07","0,01","7,16","55,30","4,43","664,34","146,47","0,52","709,95","2,21","1236,82","1254,96","0,53","3,70","4,72","0,28","1,06","0,26","0,83","2,22","7,57","1,93","28,74",.,"0,02","0,02",.,"17,08","4,68","46,18","14,16"
ACHOCOLATADO EM PO DIET,100,"337,70","29,42","2,39","1,44","0,76","0,08","0,07","0,01","7,16","55,30","4,43","664,18","146,46","0,52","709,95","2,20","978,44","1254,91","0,53","3,70","4,63","0,28","1,06","0,26","0,83","2,22","7,57","1,93","28,74",.,"0,02","0,02",.,"17,08","4,68","46,18","14,16"
TODDYNHO DIET,100,"73,29","3,48","3,51","2,01","0,90","0,21","0,14","0,07","9,59","7,09","0,39","147,69","17,76","0,08","115,69","0,17","71,79","188,49","0,09","0,97","26,86","0,05","0,21","0,11","0,14","2,36","1,45","0,46","5,66","0,96","0,07","0,11",.,"4,12","27,26","6,24",.
BOMBOM DE QUALQUER MARCA LIGHT,100,"373,00",.,"0,02",.,.,.,.,.,.,"93,18",.,"3,00",.,.,.,"0,01","11,00","4,00","0,00","0,04",.,"0,01","0,02",.,.,.,.,.,.,.,.,.,.,"0,60",.,"84,44","93,18"
BOMBOM DE QUALQUER MARCA DIET,100,"373,00",.,"0,02",.,.,.,.,.,.,"93,18",.,"3,00",.,.,.,"0,01","11,00","4,00","0,00","0,04",.,"0,01","0,02",.,.,.,.,.,.,.,.,.,.,"0,60",.,"84,44","93,18"
BOMBOM CARAMELIZADO DE QUALQUER MARCA DIET,100,"373,00",.,"0,02",.,.,.,.,.,.,"93,18",.,"3,00",.,.,.,"0,01","11,00","4,00","0,00","0,04",.,"0,01","0,02",.,.,.,.,.,.,.,.,.,.,"0,60",.,"84,44","93,18"
GELEIA DE FRUTAS DE QUALQUER MARCA OU SABOR LIGHT,100,"179,01","0,36","0,05","0,02","0,00","0,01","0,01","0,00",.,"46,13","0,35","9,23","6,76","0,23","6,97","0,16","2,01","86,85","0,02","0,03",.,"0,02","0,03","0,04","0,17","0,06","0,17",.,"1,90",.,.,.,.,"0,28","0,26","45,61","36,07"
GELEIA LIGHT,100,"179,01","0,36","0,05","0,02","0,00","0,01","0,01","0,00",.,"46,13","0,35","9,23","6,76","0,23","6,97","0,16","2,01","86,85","0,02","0,03",.,"0,02","0,03","0,04","0,17","0,06","0,17",.,"1,90",.,.,.,.,"0,28","0,26","45,61","36,07"
GELEIA DE FRUTAS LIGHT,100,"179,01","0,36","0,05","0,02","0,00","0,01","0,01","0,00",.,"46,13","0,35","9,23","6,76","0,23","6,97","0,16","2,01","86,85","0,02","0,03",.,"0,02","0,03","0,04","0,17","0,06","0,17",.,"1,90",.,.,.,.,"0,28","0,26","45,61","36,07"
DOCE DE FRUTAS EM BARRA OU PASTA LIGHT,100,"179,01","0,36","0,05","0,02","0,00","0,01","0,01","0,00",.,"46,13","0,35","9,23","6,76","0,23","6,97","0,16","2,01","86,85","0,02","0,03",.,"0,02","0,03","0,04","0,17","0,06","0,17",.,"1,90",.,.,.,.,"0,28","0,26","45,61","36,07"
DOCE DE FRUTAS EM PASTA LIGHT,100,"179,01","0,36","0,05","0,02","0,00","0,01","0,01","0,00",.,"46,13","0,35","9,23","6,76","0,23","6,97","0,16","2,01","86,85","0,02","0,03",.,"0,02","0,03","0,04","0,17","0,06","0,17",.,"1,90",.,.,.,.,"0,28","0,26","45,61","36,07"
PUDIM DE QUALQUER SABOR LIGHT,100,"119,15","5,68","3,55","1,32","1,30","0,41","0,35","0,01","119,18","15,75",.,"93,20","10,16","0,01","110,38","0,35","63,28","135,84","0,01","0,57","84,57","0,03","0,27","0,06","0,08",.,"1,22","0,60","15,36","1,22","0,29","0,03",.,"10,69","85,04","15,86","12,02"
PUDIM DANETTE LIGHT,100,"119,15","5,68","3,55","1,32","1,30","0,41","0,35","0,01","119,18","15,75",.,"93,20","10,16","0,01","110,38","0,35","63,28","135,84","0,01","0,57","84,57","0,03","0,27","0,06","0,08",.,"1,22","0,60","15,36","1,22","0,29","0,03",.,"10,69","85,04","15,86","12,02"
PUDIM DE QUALQUER SABOR DIET,100,"119,15","5,68","3,55","1,32","1,30","0,41","0,35","0,01","119,18","15,75",.,"93,20","10,16","0,01","110,38","0,35","63,28","135,84","0,01","0,57","84,57","0,03","0,27","0,06","0,08",.,"1,22","0,60","15,36","1,22","0,29","0,03",.,"10,69","85,04","15,86","12,02"
