Descrição do alimento,Quantidade (g),Energia (kcal),Proteína (g),Lipídeos (g),Saturada (g),Monoinsat (g),Polinsat (g),ômega 6,ômega 3,Colesterol (mg),CHO (g),Fibras (g),Cálcio (mg),Mg (mg),Mn (mg),P (mg),Ferro (mg),Sódio (mg),Potássio (mg),Cobre (mg),Zinco (mg),Retinol (mcg),Tiamina (mg),Riboflavina (mg),Piridoxina (mg),Niacina (mg),Vit. C (mg)
"Empada de frango, pré-cozida, assada",100,"358,19","6,94","15,61",,,,,,"22,72","47,49","2,16","15,61","18,30","0,32","77,62","1,19","524,93","137,66","0,07","0,64",Tr,"0,12",Tr,Tr,Tr, 
"Empada, de frango, pré-cozida",100,"377,48","7,34","22,89","5,40","5,20","1,40","1,22","0,07","23,28","35,53","2,22","13,56","17,33","0,25","77,94","0,75","770,73","156,36","0,09","0,50",Tr,"0,11",Tr,"0,03",Tr, 
"Frango, asa, com pele, crua",100,"213,19","18,10","15,07","4,40","6,60","3,00","3,02","0,01","113,45","0,00",NA,"10,92","23,22","0,01","154,79","0,57","96,30","211,16","0,02","1,25","10,37","0,11","0,04",Tr,"2,58",
"Frango, caipira, inteiro, com pele, cozido",100,"242,89","23,88","15,62","4,40","7,50","2,30","2,18","0,09","109,55","0,00",NA,"16,76","18,35","0,01","161,94","1,66","56,09","210,01","0,08","1,70","16,16","0,03",Tr,Tr,"6,33",
"Frango, caipira, inteiro, sem pele, cozido",100,"195,76","29,58","7,70","2,20","3,40","1,20","1,16","0,04","105,52","0,00",NA,"66,14","23,17","0,02","209,60","2,12","53,24","223,59","0,15","2,66","6,05","0,03","0,03",Tr,"9,20",
"Frango, coração, cru",100,"221,50","12,58","18,60","4,90","6,30","3,40","3,24","0,13","159,24","0,00",NA,"5,51","19,83","0,05","193,39","4,09","95,06","220,07","0,20","2,01","9,39","0,23","0,35",Tr,"3,39",
"Frango, coração, grelhado",100,"207,27","22,44","12,10","3,50","4,26","1,59","1,50","0,05","280,36","0,61",NA,"8,35","20,12","0,06","275,78","6,53","128,24","242,69","0,30","3,45",Tr,"0,20","0,19",Tr,"9,70",
"Frango, coxa, com pele, assada",100,"215,12","28,49","10,36","3,10","3,80","2,20","2,11","0,09","145,48","0,06",NA,"8,34","13,93",Tr,"251,35","1,22","94,84","318,11","0,05","2,55","5,97","0,05","0,05",Tr,"10,40",
"Frango, coxa, com pele, crua",100,"161,47","17,09","9,81","3,00","4,10","2,20","2,05","0,09","97,40","0,00",NA,"8,00","25,81","0,02","185,34","0,70","94,96","274,73","0,03","1,97","10,02","0,16","0,05",Tr,"2,04",
"Frango, coxa, sem pele, cozida",100,"167,43","26,86","5,85","2,00","2,10","1,10","1,10","0,05","132,92","0,00",NA,"11,78","11,14",Tr,"186,74","0,83","64,34","191,14","0,03","2,83",Tr,"0,07",Tr,Tr,"8,20",
"Frango, coxa, sem pele, crua",100,"119,95","17,81","4,86","1,60","2,10","0,80","0,83","0,02","90,56","0,02",NA,"7,97","27,23","0,02","196,48","0,78","98,37","291,19","0,03","2,24","11,66","0,17","0,05",Tr,"3,53",
"Frango, fígado, cru",100,"106,48","17,59","3,49","1,30","0,70","0,60","0,51","0,06","340,58","-0,02",NA,"5,61","27,83","0,35","343,90","9,54","82,43","280,50","0,26","3,73","3863,33","0,62","0,56",Tr,"6,36",
"Frango, filé, à milanesa",100,"220,87","28,46","7,79","1,60","2,40","3,30","3,05","0,25","84,32","7,51","1,13","8,91","34,83","0,06","249,35","1,08","122,33","407,56","0,05","0,84","6,61","0,05","0,04","0,52","11,07",
"Frango, inteiro, com pele, cru",100,"226,32","16,44","17,31","5,20","7,20","3,90","3,64","0,20","84,84","0,00",NA,"6,30","24,30","0,01","173,55","0,62","62,88","217,24","0,04","1,12","7,00","0,08","0,03",Tr,"3,28",
"Frango, inteiro, sem pele, assado",100,"187,34","28,03","7,50","2,10","2,60","1,80","1,73","0,09","110,94","0,00",NA,"9,06","13,88",Tr,"232,94","0,55","70,27","283,27","0,03","1,58",Tr,"0,09",Tr,Tr,"11,20",
"Frango, inteiro, sem pele, cozido",100,"170,39","24,99","7,06","2,20","2,50","1,50","1,42","0,07","98,93","0,00",NA,"8,18","12,35",Tr,"193,67","0,46","50,89","216,53","0,04","1,24",Tr,"0,10",Tr,Tr,"12,83",
"Frango, inteiro, sem pele, cru",100,"129,10","20,59","4,57","1,40","1,90","1,00","0,97","0,04","78,24","0,00",NA,"6,52","27,04","0,01","190,48","0,54","72,96","237,68","0,03","1,24","3,67","0,12","0,03",Tr,"3,28",
"Frango, peito, com pele, assado",100,"211,68","33,42","7,65","2,20","2,70","1,80","1,70","0,10","109,03","0,00",NA,"8,26","18,14","0,01","297,02","0,48","55,70","380,31","0,01","0,95","6,23","0,12",Tr,Tr,"15,80",
"Frango, peito, com pele, cru",100,"149,47","20,78","6,73","2,20","3,20","0,90","0,83","0,03","79,93","0,00",NA,"8,42","28,29","0,01","212,97","0,44","62,31","251,82","0,05","0,60","4,00","0,09",Tr,Tr,"2,58",
