Descrição do alimento,Quantidade (g),Energia (kcal),Proteína (g),Lipídeos (g),Saturada (g),Monoinsat (g),Polinsat (g),ômega 6,ômega 3,Colesterol (mg),CHO (g),Fibras (g),Cálcio (mg),Mg (mg),Mn (mg),P (mg),Ferro (mg),Sódio (mg),Potássio (mg),Cobre (mg),Zinco (mg),Retinol (mcg),Tiamina (mg),Riboflavina (mg),Piridoxina (mg),Niacina (mg),Vit. C (mg)
"Queijo, ricota",100,"139,73","12,60","8,11","4,50","2,40","0,20","0,15","0,02","48,70","3,79",NA,"253,24","11,81",Tr,"161,52","0,14","282,58","112,38",Tr,"0,46","52,85",Tr,"0,15",Tr,Tr,Tr
Bebidas (alcoólicas e não alcoólicas),,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bebida isotônica, sabores variados",100,"25,61","0,00","0,00",,,,,,NA,"6,40",NA,"1,23",Tr,Tr,"8,97","0,67","44,08","13,03",Tr,Tr,NA,,,,,
"Café, infusão 10%",100,"9,07","0,71","0,07",,,,,,NA,"1,48",NA,"3,16","9,66","0,04","9,50",Tr,"1,03","155,70","0,01",Tr,NA,,,,,
"Cana, aguardente 1",100,"215,66",,,,,,,,NA,,NA,Tr,Tr,Tr,Tr,Tr,"3,15",Tr,"0,06",Tr,NA,Tr,Tr,Tr,Tr,
"Cana, caldo de",100,"65,34",Tr,Tr,,,,,,NA,"18,15","0,14","9,08","11,97","0,21","4,78","0,75",Tr,"17,97","0,01","0,05",NA,Tr,Tr,"0,03",Tr,"2,78"
"Cerveja, pilsen 2",100,"40,72","0,56",Tr,,,,,,NA,"3,32",NA,"4,99","6,74","0,01","19,00",Tr,"4,23","29,47",Tr,Tr,NA,Tr,Tr,"0,14","2,92",Tr
"Chá, erva-doce, infusão 5%",100,"1,40","0,00","0,00",,,,,,NA,"0,39",NA,"1,93","0,88","0,01","0,65",Tr,"0,63","9,93","0,01",Tr,NA,"1,23","0,23", , , 
"Chá, mate, infusão 5%",100,"2,73","0,00","0,05",,,,,,NA,"0,64",NA,"0,64","2,04","0,27",Tr,Tr,Tr,"5,34",Tr,Tr,NA,"0,89",Tr, , , 
"Chá, preto, infusão 5%",100,"2,25","0,00","0,00",,,,,,NA,"0,63",NA,"0,25","0,96","0,09","1,51",Tr,Tr,"13,44",Tr,Tr,NA,"3,11","0,48", , , 
"Coco, água de",100,"21,51","0,00","0,00",,,,,,NA,"5,28","0,13","18,84","5,16","0,25","3,76",Tr,"1,78","161,65",Tr,Tr,NA,"0,01",Tr,Tr,Tr,"2,41"
"Refrigerante, tipo água tônica",100,"30,78","0,00","0,00",,,,,,NA,"7,95",NA,"1,08",Tr,Tr,"0,15",Tr,"8,29","1,51",Tr,Tr,NA,,,,,
"Refrigerante, tipo cola",100,"33,51","0,00","0,00",,,,,,NA,"8,66",NA,"1,37",Tr,Tr,"16,68",Tr,"7,12","0,91",Tr,Tr,NA,,,,,
"Refrigerante, tipo guaraná",100,"38,70","0,00","0,00",,,,,,NA,"10,00",NA,"1,41",Tr,Tr,Tr,Tr,"9,01","1,38",Tr,Tr,NA,,,,,
"Refrigerante, tipo laranja",100,"45,63","0,00","0,00",,,,,,NA,"11,79",NA,"2,34","1,21",Tr,"1,47",Tr,"9,27","15,50",Tr,Tr,NA,,,,,
"Refrigerante, tipo limão",100,"39,72","0,00","0,00",,,,,,NA,"10,26",NA,"1,75","0,53",Tr,Tr,Tr,"8,80","4,27",Tr,Tr,NA,,,,,
Ovos e derivados,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Omelete, de queijo",100,"268,01","15,57","22,01","6,40","6,99","6,20","5,67","0,49","383,83","0,44",NA,"165,73","14,27","0,03","313,61","1,37","216,05","126,93","0,03","1,36","58,75","0,03","0,24",Tr,Tr,Tr
"Ovo, de codorna, inteiro, cru",100,"176,89","13,69","12,68","8,90","12,10","2,70","2,64","0,10","568,00","0,77",NA,"78,73","11,06",Tr,"279,44","3,35","128,99","78,73","0,04","2,05","305,17","0,11","0,12",Tr,"0,97", 
"Ovo, de galinha, clara, cozida/10minutos",100,"59,44","13,45","0,09",,,,,,NA,"0,00",NA,"6,23","11,01",Tr,"15,43","0,08","180,54","145,87","0,03",Tr,NA,Tr,"0,08",Tr,Tr, 
"Ovo, de galinha, gema, cozida/10minutos",100,"352,67","15,90","30,78","9,20","12,10","4,00","3,69","0,15","1272,37","1,56",NA,"114,43","9,37","0,06","385,75","2,92","44,91","87,38",Tr,"2,87","148,48","0,18","0,22",Tr,Tr, 
"Ovo, de galinha, inteiro, cozido/10minutos",100,"145,70","13,29","9,48","2,90","3,80","1,10","1,06","0,04","396,57","0,61",NA,"49,22","11,24","0,02","184,19","1,52","145,90","138,90","0,04","1,24","32,44","0,08","0,30",Tr,Tr, 
"Ovo, de galinha, inteiro, cru",100,"143,11","13,03","8,90","2,60","3,60","1,20","1,02","0,11","355,94","1,64",NA,"42,02","12,66",Tr,"164,35","1,56","167,91","150,00","0,06","1,08","78,83","0,07","0,58",Tr,"0,75", 
"Ovo, de galinha, inteiro, frito",100,"240,19","15,62","18,59","4,12","5,73","4,91","4,52","0,37","516,26","1,19",NA,"72,89","16,25","0,03","422,41","2,10","166,11","184,01","0,04","1,46","93,89","0,06","0,32",Tr,Tr,Tr
Produtos açucarados,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Achocolatado, pó",100,"401,02","4,20","2,17","1,10","0,60","0,30","0,29","0,03",Tr,"91,18","3,89","44,40","76,74","0,55","199,97","5,36","64,79","496,45","0,56","1,04","795,85","1,38","1,02","1,52","4,99",Tr
"Açúcar, cristal",100,"386,85","0,32",Tr,,,,,,NA,"99,61",NA,"7,59","1,01", ,Tr,"0,16",Tr,"2,56", Tr,Tr,NA,,,,,
"Açúcar, mascavo",100,"368,55","0,76","0,09",,,,,,NA,"94,45",NA,"126,53","79,95","2,03","38,16","8,30","25,20","521,63","0,17","0,48",NA,Tr,"0,03",Tr,Tr,Tr
"Açúcar, refinado",100,"386,57","0,32",Tr,,,,,,NA,"99,54",NA,"3,50","0,55", ,Tr,"0,11","12,16","6,35", Tr,Tr,NA,,,,,
"Chocolate, ao leite",100,"539,59","7,22","30,27","17,50","10,00","0,90","0,91","0,03","16,52","59,58","2,17","191,19","57,10","0,30","212,11","1,58","77,10","354,51","0,31","1,06",Tr,"0,05","0,22","0,59","0,63",Tr
"Chocolate, ao leite, com castanha do Pará",100,"558,88","7,41","34,19","14,10","9,30","3,20","3,09","0,07","15,50","55,38","2,46","171,23","79,57","0,36","302,52","1,47","64,05","430,92","0,45","1,30","36,15","0,04","0,24",Tr,"1,37","1,42"
"Chocolate, ao leite, dietético",100,"556,82","6,90","33,77","19,20","11,40","1,50","1,41","0,10","12,96","56,32","2,85","187,89","67,21","0,41","276,47","3,31","84,71","458,40","0,43","1,12","7,04","0,31","0,25",Tr,"0,79","2,05"
"Chocolate, meio amargo",100,"474,92","4,86","29,86","13,10","8,10","1,00","0,94","0,06","2,22","62,42","4,94","44,67","107,36","0,83","219,98","3,61","8,87","431,70","0,77","1,52",Tr,"0,20","0,04",Tr,"1,06","2,10"
Cocada branca,100,"448,85","1,12","13,59","8,40","0,40","0,10","0,07",,NA,"81,38","3,57","7,06","17,41","0,36","396,41","1,24","28,99","183,07","0,20","0,41",NA,Tr,Tr,"0,16","0,47",Tr
"Doce, de abóbora, cremoso",100,"198,94","0,92","0,21",Tr,Tr,Tr,"0,01","0,01",NA,"54,61","2,28","12,99","5,52","0,01","13,74","0,85",Tr,"136,75",Tr,Tr,NA,"0,08",Tr,"0,04",Tr,"0,11"
"Doce, de leite, cremoso",100,"306,31","5,48","5,99","1,32","3,86","1,95","1,94","0,01","20,06","59,49",NA,"195,10","16,26","0,01","140,78","0,07","120,09","259,46","0,02","0,53","35,64","0,05","0,26",Tr,Tr,Tr
"Geléia, mocotó, natural",100,"106,09","2,13","0,07",Tr,Tr,Tr,Tr,,Tr,"24,23",NA,"3,52","0,75",Tr,Tr,"0,12","42,68","2,01",Tr,Tr,Tr,"0,19",Tr,"0,22",Tr,Tr
Glicose de milho,100,"292,12","0,00","0,00",,,,,,NA,"79,38",NA,"5,67","1,90",Tr,"4,78","0,05","58,93","5,06",Tr,Tr,NA, , , , , 
Maria mole,100,"301,24","3,81","0,19",,,,,,NA,"73,55","0,67","13,36","6,89","0,06","4,35","0,39","15,31","23,56","0,20","0,09",NA,"0,04",Tr,Tr,Tr,Tr
"Maria mole, coco queimado",100,"306,63","3,93","0,09",,,,,,NA,"75,06","0,64","19,46","5,99","0,09","5,42","0,47","14,29","35,96","0,03","0,09",NA,"0,04",Tr,Tr,Tr,Tr
Marmelada,100,"257,24","0,40","0,14",,,,,,NA,"70,76","4,07","11,32","5,80","0,06","19,62","0,73","10,88","83,15","0,09","0,08",NA,Tr,Tr,Tr,Tr,Tr
"Mel, de abelha",100,"309,24","0,00","0,00",,,,,,NA,"84,03",NA,"10,20","5,51","0,38","3,89","0,25","6,04","99,32",Tr,"0,17",NA,"0,11",Tr,Tr,Tr,"0,74"
Melado,100,"296,51","0,00","0,00",,,,,,NA,"76,62",NA,"102,06","115,14","2,62","73,61","5,39","4,01","395,06","0,84","0,27",NA,Tr,"0,05","0,20",Tr,Tr
Quindim,100,"411,35","4,74","24,43","11,33","4,75","4,70","4,29","0,35","271,02","46,30","3,22","37,18","14,90","0,25","167,91","1,38","27,37","111,00","0,10","1,11","75,98",Tr,"0,04","0,04","1,14",Tr
Rapadura,100,"351,96","0,99","0,07",,,,,,NA,"90,79",NA,"30,49","47,18","1,66","21,30","4,44","21,71","458,87","0,17","0,56",NA,Tr,Tr,"0,04",Tr,Tr
Miscelâneas,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Café, pó, torrado",100,"418,62","14,70","11,95","5,30","1,10","4,90","4,82","0,11",NA,"65,75","51,23","106,89","165,12","2,58","169,48","8,13","1,13","1608,58","1,30","0,52",NA,Tr,Tr,Tr,"11,89",Tr
"Capuccino, pó",100,"417,41","11,31","8,63","4,00","1,60","0,10","0,11","0,04","28,90","73,61","2,44","466,59","70,85","0,17","357,61","2,28","382,29","885,80",Tr,"1,14","51,53",Tr,"1,41",Tr,Tr,Tr
"Fermento em pó, químico",100,"89,72","0,48","0,07",,,,,,NA,"43,91",NA, , , , , ,"10052,41", , , ,NA, , , , , 
"Fermento, biológico, levedura, tablete",100,"89,79","16,96","1,52",,,,,,NA,"7,70","4,17","18,01","38,45","0,20","418,66","2,62","39,61","576,24","0,29","11,00",NA,"0,30","0,36",Tr,Tr,Tr
"Gelatina, sabores variados, pó",100,"380,22","8,89",Tr,,,,,,NA,"89,22",NA,"26,84","2,31","0,03","1,99","0,33","234,92","7,25",Tr,Tr,NA,Tr,Tr,Tr,Tr,"40,00"
"Sal, dietético",100,NA,NA,NA,,,,,,NA,NA,NA,,,,,,"23431,52","20467,64",,,NA,,,,,
"Sal, grosso",100,NA,NA,NA,,,,,,NA,NA,NA,,,,,,"39943,20",,,,NA,,,,,
Shoyu,100,"60,93","3,31","0,33",Tr,Tr,Tr,"0,01",Tr,NA,"11,65",NA,"14,53","23,63","0,07","47,04","0,50","5024,21","165,18",Tr,"0,19",NA,"0,83","6,00","0,15","2,10",Tr
Tempero a base de sal,100,"21,33","2,67","0,26",,,,,,NA,"2,07","0,56",,,,,,"32560,00",,,,NA,,,,,
Outros alimentos industrializados,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Azeitona, preta, conserva",100,"194,15","1,16","20,35","3,50","11,00","3,00","14,76","1,01",NA,"5,54","4,56","58,75","4,76","0,06","16,00","5,45","1566,66","78,57","0,25","0,29",NA,Tr,Tr,"0,04",Tr,Tr
"Azeitona, verde, conserva",100,"136,94","0,95","14,22","2,30","8,30","1,00","4,86","0,69",NA,"4,10","3,85","45,64","3,94","0,03","5,36","0,18","1347,18","19,81","0,14","0,08",NA,Tr,Tr,Tr,Tr,Tr
"Chantilly, spray, com gordura vegetal",100,"314,96","0,53","27,27","25,90","0,10","0,10","0,43",,Tr,"16,86",NA,"2,27","0,85",Tr,"15,65",Tr,"109,70","5,11","0,01","0,07",Tr,"0,07",Tr,Tr,Tr,
"Leite, de coco",100,"166,16","1,01","18,36","15,60","0,90","0,20","0,91",,NA,"2,19","0,68","5,85","16,83","0,24","25,52","0,46","44,29","143,67","0,16","0,32",NA,Tr,Tr,Tr,Tr,Tr
"Maionese, tradicional com ovos",100,"302,15","0,58","30,50","4,10","6,40","15,40","74,43","7,68","42,47","7,90",NA,"3,48","0,86",Tr,"14,45","0,10","786,83","16,09",Tr,"0,06","8,00",Tr,"0,05",Tr,Tr,Tr
Alimentos preparados,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acarajé,100,"289,21","8,35","19,93","9,10","7,80","2,10","2,01","0,12","25,46","19,11","9,36","124,42","51,12","0,59","141,56","193,30","304,89","353,66","0,23","1,19",Tr,"0,06",Tr,Tr,Tr, 
Arroz carreteiro,100,"153,77","10,83","7,12","3,20","3,00","0,20","0,17","0,04","36,09","11,58","1,50","13,26","9,29","0,18","47,64","95,50","1621,73","87,15","0,08","2,67",Tr,"0,03",Tr,"0,07","1,60", 
"Baião de dois, arroz e feijão-de-corda",100,"135,68","6,24","3,23","0,60","1,00","1,50","1,36","0,13","4,10","20,42","5,07","33,30","18,68","0,27","71,68","56,23","93,30","157,31","0,08","0,60",Tr,"0,04",Tr,"0,04",Tr,Tr
Barreado,100,"164,98","18,27","9,53","3,33","4,26","1,41","1,28","0,08","60,11","0,24","0,15","14,51","21,37","0,05","169,31","244,40","47,63","294,56","0,17","4,83",Tr,"0,03","0,04",Tr,"2,09",Tr
"Bife à cavalo, com contra filé",100,"291,23","23,66","21,15","7,94","8,20","3,26","2,96","0,30","256,63","0,00",NA,"25,98","19,49","0,02","215,82","210,33","82,87","272,23","0,06","3,21","36,80","0,05","0,10",Tr,"2,92",
Bolinho de arroz,100,"273,51","8,04","8,29","1,80","2,50","3,50","3,26","0,24","70,30","41,68","2,74","23,57","13,45","0,42","87,27","212,27","58,86","96,45","0,13","0,86",Tr,"0,08","0,05",Tr,Tr,Tr
Camarão à baiana,100,"100,78","7,94","5,97","1,64","0,90","1,52","1,34","0,19","116,78","3,17","0,39","42,68","14,86","0,11","244,09","141,80","84,79","139,14","0,07","0,47",Tr,Tr,Tr,Tr,"0,31","4,07"
"Charuto, de repolho",100,"78,23","6,78","1,12","0,46","0,47","0,10","0,08","0,02","21,34","10,13","1,46","22,89","13,46","0,22","67,89","86,20","12,10","184,03","1,45","1,75",Tr,"0,03",Tr,Tr,"0,32","4,77"
"Cuscuz, de milho, cozido com sal",100,"113,46","2,16","0,68","0,20","0,20","0,30","0,26",Tr,NA,"25,28","2,05","1,54","2,72","0,02","23,18","17,33","247,67","10,85",Tr,"0,20",Tr,Tr,Tr,"0,06",Tr,Tr
"Cuscuz, paulista",100,"142,12","2,56","4,65","1,80","1,80","0,80","0,69","0,10","15,05","22,51","2,43","14,16","5,10","0,06","25,95","33,00","235,71","52,93","0,05","0,21",Tr,Tr,Tr,Tr,"0,93",Tr
"Cuxá, molho",100,"80,09","5,64","3,59","0,59","1,27","1,55","1,44","0,10","58,39","5,74","3,02","105,48","33,58","0,23","111,13","94,40","1344,29","124,06","0,17","0,57",Tr,"0,04",Tr,"0,03","1,10","10,28"
Dobradinha,100,"124,50","19,77","4,44","2,50","1,20","0,10","0,10","0,03","144,02","0,00",NA,"11,34","8,25","0,11","57,12","101,00","28,77","57,58","0,06","2,72",Tr,Tr,Tr,Tr,"4,27", 
Estrogonofe de carne,100,"173,14","15,03","10,80","5,26","3,32","0,86","0,76","0,09","66,22","2,98",,"28,32","21,51","0,03","185,57","269,93","122,85","322,31","0,14","2,04","27,63","0,06","0,05",Tr,"3,25",Tr
Estrogonofe de frango,100,"156,81","17,55","7,96","3,69","2,24","1,01","0,95","0,07","79,96","2,59",,"26,05","24,76","0,03","195,16","152,13","99,46","307,09","0,12","0,58","28,22","0,07","0,04","0,03","3,37",Tr
Feijão tropeiro mineiro,100,"151,56","10,17","6,79","2,16","2,87","1,53","1,30","0,19","67,88","19,58","3,57","41,20","36,11","0,38","199,26","216,23","365,07","348,93","0,22","1,45","8,77",Tr,Tr,Tr,"1,44",Tr
Feijoada,100,"116,93","8,67","6,48","1,92","2,59","1,58","1,37","0,18","21,96","11,64","5,09","32,38","31,85","0,24","105,46","134,70","278,22","303,49","0,15","0,83",Tr,"0,08","0,03",Tr,"0,93",Tr
"Frango, com açafrão",100,"112,78","9,70","6,17","1,61","2,51","1,79","1,60","0,11","50,42","4,06","0,22","12,99","16,09","0,09","166,84","83,80","28,81","256,37","0,02","0,50","8,09","0,03",Tr,Tr,"1,64","5,28"
"Macarrão, molho bolognesa",100,"119,53","4,93","0,89","0,27","0,26","0,29","0,28","0,01","6,93","22,52","0,78","10,55","9,98","0,22","53,96","138,90","8,94","83,57","0,09","0,75",Tr,"0,04",Tr,Tr,"1,44",Tr
Maniçoba,100,"134,22","9,96","8,70","2,89","3,68","1,67","1,45","0,16","42,77","3,42","2,16","65,98","23,65","0,60","54,88","321,53","406,70","147,71","0,16","2,03",Tr,"0,04","0,07","0,05","2,58",Tr
Quibebe,100,"86,35","8,56","2,67","1,04","1,11","0,24","0,18","0,06",NA,"6,64","1,67","7,68","10,40","0,05","42,53","77,83","246,61","152,81","0,61","1,64",Tr,Tr,"0,03","0,04",,Tr
"Salada, de legumes, com maionese",100,"96,10","1,05","7,04","1,09","1,77","3,82","3,46","0,36","7,20","8,92","2,22","12,13","8,71","0,10","22,27","22,90","228,43","141,29","0,04","0,16",Tr,"0,04",Tr,"0,04",Tr,Tr
"Salada, de legumes, cozida no vapor",100,"35,41","2,01","0,31","0,06",Tr,"0,16","0,07","0,08",NA,"7,09","2,51","32,90","18,58","0,24","44,79","44,07","2,51","244,30","0,17","0,30",NA,"0,05","0,03","0,03",Tr,"29,35"
"Salpicão, de frango",100,"147,86","13,93","7,84","1,34","2,08","4,00","3,64","0,36","52,52","4,57","0,41","9,41","13,25","0,03","102,58","31,83","248,35","148,97","0,08","0,39",Tr,"0,05",Tr,Tr,"1,48","9,26"
Sarapatel,100,"122,98","18,47","4,42","1,39","1,11","0,72","0,66","0,03","315,36","1,09",,"12,23","12,80","0,10","163,50","717,63","215,62","198,76","1,48","1,77","1463,67",Tr,"0,11",Tr,"3,84",Tr
Tabule,100,"57,45","2,05","1,21","0,21","0,83","0,23","0,20","0,03",NA,"10,58","2,08","18,85","17,98","0,37","35,47","55,13","1,19","187,63","0,12","0,58",NA,"0,03",Tr,Tr,"0,60","16,22"
Tacacá,100,"46,89","6,96","0,36","0,18","0,13",Tr,"0,03",,"70,56","3,39","0,21","44,82","29,90","0,12","89,17","94,93","1349,06","240,18","0,22","0,79",Tr,"0,05",Tr,Tr,,Tr
"Tapioca, com manteiga",100,"347,83","0,09","10,91","6,05","2,96","0,19","0,17","0,02","31,19","63,59",Tr,"30,03","3,22","0,06","8,43","24,00","157,52","19,31","0,01","0,04","75,27",Tr,Tr,Tr,Tr,Tr
"Tucupi, com pimenta-de-cheiro",100,"27,18","2,06","0,28","0,06","0,15",Tr,"0,04",Tr,NA,"4,74","0,23","28,26","42,49","0,52","30,81","114,83","5,13","390,84","0,12","0,85",NA,Tr,Tr,"0,05",Tr,"46,40"
Vaca atolada,100,"144,90","5,12","9,32","4,14","3,16","1,23","1,11","0,12","18,59","10,06","2,34","62,66","15,75","0,04","71,77","73,00","25,63","219,81","0,12","1,20",Tr,Tr,Tr,Tr,"0,77",Tr
Vatapá,100,"254,89","6,00","23,23","7,50","9,67","4,73","4,27","0,30","44,45","9,75","1,70","46,82","39,32","0,48","108,44","144,30","879,85","209,41","0,28","0,85",Tr,Tr,Tr,Tr,"1,80",Tr
Virado à paulista,100,"306,95","10,18","25,59","8,28","10,58","5,12","4,63","0,32","65,84","14,11","2,16","40,71","21,81","0,15","135,49","105,10","345,53","237,26","0,07","1,04","10,17","0,14","0,05",Tr,"2,60",Tr
Yakisoba,100,"112,80","7,52","2,61","0,58","0,87","0,99","0,94","0,05",NA,"18,25","1,06","13,95","13,34","0,15","83,03","62,23","793,76","158,57","0,06","0,68",NA,"0,16",Tr,Tr,"2,09",Tr
Leguminosas e derivados,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Amendoim, grão, cru",100,"544,05","27,19","43,85","8,70","17,20","16,20","16,17","4,00",NA,"20,31","8,04",Tr,"170,51","1,96","407,20","2,53",Tr,"580,44","0,78","3,17",NA,"0,10","0,03","0,76","10,18",Tr
"Amendoim, torrado, salgado",100,"605,78","22,48","53,96","9,74","29,06","14,23","14,18","6,33",NA,"18,70","7,76","39,43","159,34","1,70","260,76","1,33","375,73","495,67","0,68","2,12",NA,"0,08",Tr,"0,21","7,47",Tr
"Ervilha, em vagem",100,"88,09","7,45","0,47",Tr,"0,10","0,30","0,27","4,00",NA,"14,23","9,72","24,44","41,76","0,40","151,98","1,44",Tr,"310,98","0,20","1,23",NA,"0,27","0,07","0,06","1,16","12,44"
"Ervilha, enlatada, drenada",100,"73,84","4,60","0,38","0,10","0,10","0,20","0,15","2,00",NA,"13,44","5,08","22,22","23,19","0,46","78,51","1,39","372,11","147,12","0,14","0,88",NA,"0,07","0,03",Tr,Tr, 
"Feijão, carioca, cozido",100,"76,42","4,78","0,54","0,10","0,10","0,30","0,16","14,00",NA,"13,59","8,51","26,59","42,34","0,28","86,85","1,29","1,76","254,62","0,19","0,70",NA,"0,04",Tr,Tr,Tr,Tr
"Feijão, carioca, cru",100,"329,03","19,98","1,26","0,20","0,10","0,90","0,40","49,00",NA,"61,22","18,42","122,57","209,95","1,02","385,38","7,99",Tr,"1352,46","0,79","2,90",NA,"0,17",Tr,"0,65","4,02", 
"Feijão, fradinho, cozido",100,"78,01","5,09","0,64","0,20","0,10","0,30","0,21","10,00",NA,"13,50","7,47","17,45","38,12","0,53","84,59","1,06","0,98","252,98","0,10","1,12",NA,"0,12",Tr,Tr,Tr,Tr
"Feijão, fradinho, cru",100,"339,16","20,21","2,37","0,70","0,20","0,90","0,58","28,00",NA,"61,24","23,59","77,52","178,39","1,43","354,52","5,13","10,31","1082,74","0,70","3,88",NA,"0,14","0,03","0,26",Tr,Tr
"Feijão, jalo, cozido",100,"92,74","6,14","0,51","0,10","0,10","0,30","0,11","20,00",NA,"16,50","13,87","29,40","44,10","0,32","121,01","1,92","0,52","347,72","0,24","1,01",NA,"0,13",Tr,"0,04",Tr,Tr
"Feijão, jalo, cru",100,"327,91","20,10","0,95","0,30","0,20","0,60","0,23","41,00",NA,"61,48","30,32","97,97","169,90","0,99","427,19","7,03","24,58","1275,95","0,95","3,01",NA,"0,10",Tr,"0,12",Tr,Tr
"Feijão, preto, cozido",100,"77,03","4,48","0,54","0,10","0,10","0,30","0,16","11,00",NA,"14,01","8,40","29,00","40,37","0,37","88,03","1,47","1,85","256,37","0,20","0,72",NA,"0,06",Tr,"0,03",Tr,Tr
"Feijão, preto, cru",100,"323,57","21,34","1,24","0,20","0,10","0,80","0,38","47,00",NA,"58,75","21,83","110,90","188,11","1,32","471,16","6,46",Tr,"1415,68","0,83","2,85",NA,"0,12",Tr,"0,59","4,60", 
"Feijão, rajado, cozido",100,"84,70","5,54","0,40","0,10",Tr,"0,20","0,09","13,00",NA,"15,27","9,32","29,19","41,71","0,29","112,93","1,36","0,69","314,58","0,23","0,92",NA,"0,09",Tr,"0,04",Tr,Tr
"Feijão, rajado, cru",100,"325,84","17,27","1,17","0,40","0,10","0,80","0,29","46,00",NA,"62,93","24,01","111,43","169,90","1,17","334,79","18,58","13,65","1134,54","0,84","2,60",NA,"0,07","0,03","0,07",Tr,Tr
"Feijão, rosinha, cozido",100,"67,87","4,54","0,48","0,20",Tr,"0,20","0,16","7,00",NA,"11,82","4,76","19,24","42,96","0,46","89,51","1,18","2,08","240,57","0,09","1,31",NA,Tr,Tr,Tr,"3,69",Tr
"Feijão, rosinha, cru",100,"336,96","20,92","1,33","0,60","0,10","0,70","0,33","14,00",NA,"62,22","20,63","67,66","184,50","1,08","393,59","5,32","24,11","1108,66","0,60","3,98",NA,"0,16","0,03",Tr,"3,92",Tr
"Feijão, roxo, cozido",100,"76,89","5,72","0,54","0,10","0,10","0,30","0,14","19,00",NA,"12,91","11,51","22,53","34,39","0,32","106,33","1,41","1,46","268,09","0,22","1,01",NA,"0,15",Tr,"0,03",Tr,Tr
"Feijão, roxo, cru",100,"331,41","22,17","1,24","0,30","0,20","0,80","0,34","46,00",NA,"59,99","33,84","120,46","161,94","1,34","393,70","6,92","9,76","1221,40","1,04","3,29",NA,"0,26",Tr,"0,08",Tr,Tr
"Grão-de-bico, cru",100,"354,70","21,23","5,43","0,90","1,40","2,80","2,71","13,00",NA,"57,88","12,36","114,36","146,39","3,16","342,34","5,38","5,19","1115,70","0,67","3,19",NA,"0,52",Tr,"0,75",Tr,Tr
"Guandu, cru",100,"344,13","18,96","2,13","0,60","0,20","0,90","0,86","6,00",NA,"64,00","21,31","129,34","166,00","1,02","269,19","1,94","1,62","1214,80","0,57","2,02",NA,"1,06",Tr,"0,07","2,69","1,47"
"Lentilha, cozida",100,"92,64","6,31","0,52","0,10","0,10","0,30","0,21","4,00",NA,"16,30","7,86","16,10","21,65","0,29","103,74","1,48","1,18","219,90","0,17","1,13",NA,"0,03",Tr,Tr,Tr,Tr
"Lentilha, crua",100,"339,14","23,15","0,77","0,10","0,20","0,40","0,33","9,00",NA,"62,00","16,94","53,52","93,53","1,08","367,74","7,05",Tr,"886,88","0,83","3,49",NA,"0,11",Tr,"0,42","5,07", 
"Paçoca, amendoim",100,"486,93","16,00","26,08","4,10","10,00","7,30","7,25","2,00",NA,"52,38","7,32","22,48","100,67","1,06","198,50","1,13","166,84","347,60","0,38","1,56",NA,Tr,Tr,"1,20",Tr,Tr
"Pé-de-moleque, amendoim",100,"503,19","13,16","28,05","5,08","14,39","8,25","8,25",,NA,"54,73","3,39","27,11","107,90","1,09","170,71","1,26","16,35","355,41","0,43","1,43",NA,"0,04","0,03","0,11","5,94",Tr
"Soja, farinha",100,"403,96","36,03","14,63",,,,,,NA,"38,44","20,18","206,02","241,90","2,87","539,25","13,06","5,75","1922,39","1,29","4,54",NA,"0,20","0,04","0,03",Tr,Tr
"Soja, extrato solúvel, natural, fluido",100,"39,10","2,38","1,61","0,20","0,30","0,60","0,58","6,00",NA,"4,28","0,37","16,52","15,45","0,15","52,89","0,43","56,53","121,04","0,08","0,28",NA,Tr,Tr,Tr,Tr,Tr
"Soja, extrato solúvel, pó",100,"458,90","35,69","26,18","3,30","6,40","12,90","11,67","123,00",NA,"28,48","7,31","359,04","215,62","2,68","646,55","7,01","83,47","1606,80","1,19","5,84",NA,Tr,"0,11","0,35",Tr,"9,21"
"Soja, queijo (tofu)",100,"64,49","6,55","3,95","0,40","0,50","1,70","1,48","20,00",NA,"2,13","0,75","80,76","38,20","0,33","129,52","1,43","1,21","181,69","0,18","0,89",NA,"0,04",Tr,"0,03",Tr,Tr
"Tremoço, cru",100,"381,28","33,58","10,34","1,20","5,40","1,70","1,08","57,00",NA,"43,79","32,31","176,75","121,43",*,"264,68","2,79","3,29","708,32","0,79","4,24",NA,"0,24",Tr,"0,07",Tr,"24,97"
"Tremoço, em conserva",100,"120,64","11,11","3,78","0,40","1,90","0,60","0,40","22,00",NA,"12,39","14,44","15,54","3,52",*,"39,72","0,34","1808,76","5,20","0,27","0,64",NA,Tr,Tr,Tr,Tr,Tr
Nozes e sementes,,,,,,,,,,,,,,,,,,,,,,,,,,,
